epoch,train_loss,train_accuracy,val_loss,val_accuracy,lr
1.0,4.235101013183594,0.080625,3.4571218872070313,0.155,9.990133642141359e-05
2.0,2.130483474731445,0.4375,2.272387161254883,0.4025,9.96057350657239e-05
3.0,1.1975033700466156,0.68125,1.8711543369293213,0.4975,9.911436253643444e-05
4.0,0.7154759657382965,0.8175,1.6642322158813476,0.56,9.842915805643155e-05
5.0,0.46320928931236266,0.878125,1.575285449028015,0.5625,9.755282581475769e-05
6.0,0.27720417112112045,0.946875,1.5112128591537475,0.6025,9.648882429441257e-05
7.0,0.21390014082193376,0.95875,1.4224428033828735,0.61,9.524135262330098e-05
8.0,0.1775594799220562,0.9625,1.3498225450515746,0.62,9.381533400219317e-05
9.0,0.08973657049238681,0.990625,1.3314894485473632,0.6475,9.221639627510075e-05
10.0,0.06624354653060437,0.993125,1.312693657875061,0.6575,9.045084971874735e-05
11.0,0.06133839711546898,0.99375,1.3032133507728576,0.6475,8.852566213878945e-05
12.0,0.04704529069364071,0.996875,1.310412759780884,0.6475,8.644843137107056e-05
13.0,0.046117817014455796,0.996875,1.3403448152542115,0.635,8.422735529643442e-05
14.0,0.034917066320776936,0.9975,1.3232793998718262,0.645,8.187119948743447e-05
15.0,0.023673435896635054,0.999375,1.2745538139343262,0.65,7.938926261462366e-05
16.0,0.03066613219678402,0.996875,1.2397283625602722,0.6825,7.679133974894982e-05
17.0,0.02477161765098572,0.998125,1.3264409184455872,0.6475,7.408768370508575e-05
18.0,0.026994334384799003,0.998125,1.2451768016815186,0.6825,7.128896457825361e-05
19.0,0.02077795669436455,1.0,1.2575830602645874,0.685,6.840622763423389e-05
20.0,0.01827823854982853,0.99875,1.2521629667282104,0.6825,6.545084971874736e-05
21.0,0.017291696816682814,0.99875,1.2294357085227967,0.685,6.243449435824272e-05
22.0,0.018853154331445694,0.99875,1.2483742427825928,0.6625,5.9369065729286224e-05
23.0,0.01251425638794899,1.0,1.2471786522865296,0.68,5.626666167821521e-05
24.0,0.01662789233028889,0.998125,1.2837721872329713,0.66,5.3139525976465657e-05
25.0,0.015595856383442878,0.999375,1.2419608163833618,0.69,4.999999999999998e-05
26.0,0.013976399004459381,0.99875,1.235618691444397,0.67,4.6860474023534314e-05
27.0,0.01011145554482937,1.0,1.221245584487915,0.6975,4.3733338321784775e-05
28.0,0.014488302022218704,0.999375,1.2445166492462159,0.6725,4.063093427071375e-05
29.0,0.008221212700009346,1.0,1.2567743062973022,0.68,3.756550564175724e-05
30.0,0.009085062965750694,1.0,1.2159018778800965,0.6825,3.454915028125263e-05
31.0,0.010342615246772767,0.999375,1.2250164198875426,0.675,3.1593772365766105e-05
32.0,0.007673248499631882,1.0,1.2321709632873534,0.66,2.8711035421746357e-05
33.0,0.008709755092859268,1.0,1.1846064138412475,0.6975,2.591231629491422e-05
34.0,0.01060806840658188,0.998125,1.2352424216270448,0.685,2.3208660251050148e-05
35.0,0.01016987144947052,0.999375,1.2243012690544128,0.69,2.061073738537634e-05
36.0,0.005903098583221435,1.0,1.2463253116607667,0.675,1.8128800512565503e-05
37.0,0.008586369901895523,1.0,1.2565399098396302,0.695,1.5772644703565555e-05
38.0,0.006851978376507759,1.0,1.228227779865265,0.69,1.3551568628929426e-05
39.0,0.007357579544186592,0.999375,1.2329270911216736,0.6825,1.1474337861210536e-05
40.0,0.009993337392807007,1.0,1.2458090496063232,0.6825,9.549150281252626e-06
41.0,0.007033837288618088,0.999375,1.2301637625694275,0.68,7.783603724899252e-06
42.0,0.007071191146969795,0.999375,1.2134989213943481,0.695,6.184665997806817e-06
43.0,0.00800257310271263,1.0,1.2242107534408568,0.69,4.75864737669903e-06
44.0,0.00884037584066391,0.99875,1.2073420238494874,0.69,3.5111757055874303e-06
45.0,0.005693991407752037,1.0,1.2128150486946105,0.6825,2.4471741852423216e-06
46.0,0.009154672175645829,0.99875,1.1984878969192505,0.7075,1.5708419435684504e-06
47.0,0.007600423917174339,1.0,1.2048804759979248,0.71,8.856374635655631e-07
48.0,0.006637269407510757,1.0,1.208612504005432,0.69,3.942649342761114e-07
49.0,0.005452372208237648,1.0,1.2009795904159546,0.6975,9.866357858642197e-08
50.0,0.006185549795627594,1.0,1.2139070320129395,0.6975,0.0
