category,target,support,precision,recall,f1_score,mean_reciprocal_rank,average_top1_score,hit@1,hit@2,hit@3,hit@4,hit@5
dog,0,8,0.4444444444444444,0.5,0.47058823529411764,0.6666666666666666,0.8064996004104614,0.5,0.75,0.875,0.875,0.875
rooster,1,8,0.8888888888888888,1.0,0.9411764705882353,1.0,0.9475970715284348,1.0,1.0,1.0,1.0,1.0
pig,2,8,0.4,0.5,0.4444444444444444,0.5,0.6271947436034679,0.5,0.5,0.5,0.5,0.5
cow,3,8,1.0,0.75,0.8571428571428571,0.7916666666666666,0.7100057676434517,0.75,0.75,0.875,0.875,0.875
frog,4,8,0.5714285714285714,0.5,0.5333333333333333,0.625,0.7238952443003654,0.5,0.75,0.75,0.75,0.75
cat,5,8,0.7272727272727273,1.0,0.8421052631578947,1.0,0.7226575389504433,1.0,1.0,1.0,1.0,1.0
hen,6,8,0.42857142857142855,0.375,0.4,0.5979166666666667,0.7517282962799072,0.375,0.625,0.75,0.875,1.0
insects,7,8,1.0,0.625,0.7692307692307693,0.75,0.6916946470737457,0.625,0.875,0.875,0.875,0.875
sheep,8,8,0.8888888888888888,1.0,0.9411764705882353,1.0,0.8534733802080154,1.0,1.0,1.0,1.0,1.0
crow,9,8,0.75,0.75,0.75,0.84375,0.7522699721157551,0.75,0.875,0.875,1.0,1.0
rain,10,8,0.6666666666666666,1.0,0.8,1.0,0.9836416393518448,1.0,1.0,1.0,1.0,1.0
sea_waves,11,8,0.875,0.875,0.875,0.9166666666666666,0.9420471340417862,0.875,0.875,1.0,1.0,1.0
crackling_fire,12,8,0.6666666666666666,0.75,0.7058823529411765,0.84375,0.6599248088896275,0.75,0.875,0.875,1.0,1.0
crickets,13,8,1.0,0.875,0.9333333333333333,0.9166666666666666,0.9067433215677738,0.875,0.875,1.0,1.0,1.0
chirping_birds,14,8,0.8571428571428571,0.75,0.8,0.8125,0.7983330972492695,0.75,0.875,0.875,0.875,0.875
water_drops,15,8,0.5,0.5,0.5,0.6458333333333333,0.624837689101696,0.5,0.625,0.875,0.875,0.875
wind,16,8,0.6,0.75,0.6666666666666666,0.78125,0.7209644801914692,0.75,0.75,0.75,0.875,0.875
pouring_water,17,8,0.8,1.0,0.8888888888888888,1.0,0.919402502477169,1.0,1.0,1.0,1.0,1.0
toilet_flush,18,8,0.7777777777777778,0.875,0.8235294117647058,0.875,0.8069111928343773,0.875,0.875,0.875,0.875,0.875
thunderstorm,19,8,0.7777777777777778,0.875,0.8235294117647058,0.9166666666666666,0.8902313411235809,0.875,0.875,1.0,1.0,1.0
crying_baby,20,8,0.5555555555555556,0.625,0.5882352941176471,0.75,0.7204211056232452,0.625,0.875,0.875,0.875,0.875
sneezing,21,8,1.0,0.5,0.6666666666666666,0.625,0.6848188694566488,0.5,0.625,0.625,0.875,0.875
clapping,22,8,1.0,0.5,0.6666666666666666,0.5833333333333333,0.6883998103439808,0.5,0.5,0.75,0.75,0.75
breathing,23,8,0.42857142857142855,0.375,0.4,0.4583333333333333,0.5829797126352787,0.375,0.375,0.625,0.625,0.625
coughing,24,8,0.4,0.5,0.4444444444444444,0.7291666666666666,0.7254017032682896,0.5,0.875,1.0,1.0,1.0
footsteps,25,8,0.42857142857142855,0.75,0.5454545454545454,0.8229166666666666,0.8428440988063812,0.75,0.75,0.875,1.0,1.0
laughing,26,8,0.5,0.375,0.42857142857142855,0.525,0.4634194131940603,0.375,0.625,0.625,0.625,0.75
brushing_teeth,27,8,1.0,0.75,0.8571428571428571,0.875,0.8233995735645294,0.75,1.0,1.0,1.0,1.0
snoring,28,8,0.6666666666666666,0.75,0.7058823529411765,0.8541666666666666,0.8609142825007439,0.75,0.875,1.0,1.0,1.0
drinking_sipping,29,8,0.7142857142857143,0.625,0.6666666666666666,0.7291666666666666,0.5312549211084843,0.625,0.75,0.875,0.875,0.875
door_wood_knock,30,8,0.875,0.875,0.875,0.875,0.8994845598936081,0.875,0.875,0.875,0.875,0.875
mouse_click,31,8,0.6666666666666666,0.5,0.5714285714285714,0.6145833333333333,0.7700421288609505,0.5,0.5,0.75,0.875,0.875
keyboard_typing,32,8,0.7,0.875,0.7777777777777778,0.875,0.7116028554737568,0.875,0.875,0.875,0.875,0.875
door_wood_creaks,33,8,1.0,0.625,0.7692307692307693,0.68125,0.8192278742790222,0.625,0.625,0.625,0.75,0.875
can_opening,34,8,0.5714285714285714,0.5,0.5333333333333333,0.6604166666666667,0.5136079918593168,0.5,0.625,0.75,0.875,1.0
washing_machine,35,8,0.6363636363636364,0.875,0.7368421052631579,0.875,0.7942953333258629,0.875,0.875,0.875,0.875,0.875
vacuum_cleaner,36,8,0.6666666666666666,0.75,0.7058823529411765,0.8541666666666666,0.8802827000617981,0.75,0.875,1.0,1.0,1.0
clock_alarm,37,8,0.8888888888888888,1.0,0.9411764705882353,1.0,0.9350092858076096,1.0,1.0,1.0,1.0,1.0
clock_tick,38,8,0.8571428571428571,0.75,0.8,0.8541666666666666,0.8093770444393158,0.75,0.875,1.0,1.0,1.0
glass_breaking,39,8,0.7,0.875,0.7777777777777778,0.9166666666666666,0.8008516654372215,0.875,0.875,1.0,1.0,1.0
helicopter,40,8,0.5555555555555556,0.625,0.5882352941176471,0.7708333333333333,0.9198777675628662,0.625,0.75,1.0,1.0,1.0
chainsaw,41,8,1.0,0.875,0.9333333333333333,0.875,0.7730838246643543,0.875,0.875,0.875,0.875,0.875
siren,42,8,0.7777777777777778,0.875,0.8235294117647058,0.9166666666666666,0.8259524330496788,0.875,0.875,1.0,1.0,1.0
car_horn,43,8,0.8888888888888888,1.0,0.9411764705882353,1.0,0.9375203624367714,1.0,1.0,1.0,1.0,1.0
engine,44,8,0.8333333333333334,0.625,0.7142857142857143,0.75,0.8751655742526054,0.625,0.625,1.0,1.0,1.0
train,45,8,0.6,0.75,0.6666666666666666,0.8333333333333333,0.6807747967541218,0.75,0.75,1.0,1.0,1.0
church_bells,46,8,0.8888888888888888,1.0,0.9411764705882353,1.0,0.9874391034245491,1.0,1.0,1.0,1.0,1.0
airplane,47,8,1.0,0.5,0.6666666666666666,0.6395833333333334,0.7399906441569328,0.5,0.5,0.75,0.875,1.0
fireworks,48,8,0.0,0.0,0.0,0.15416666666666665,0.7530280984938145,0.0,0.125,0.25,0.25,0.5
hand_saw,49,8,0.6666666666666666,0.75,0.7058823529411765,0.84375,0.8278676941990852,0.75,0.875,0.875,1.0,1.0
