epoch,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_macro_f1
1,1.9772720098495484,0.1346153846153846,0.12103967471023523,2.224757432937622,0.11538461538461539,0.08272108843537415
2,1.7826825380325317,0.42628205128205127,0.3613403468094543,2.4482028484344482,0.15384615384615385,0.12393320964749537
3,1.7068331480026244,0.44551282051282054,0.40797833398655275,2.169036030769348,0.22115384615384615,0.17168399927020614
4,1.626804256439209,0.5833333333333334,0.5071464550942847,1.9929887056350708,0.22115384615384615,0.17357144940033578
5,1.5900089502334596,0.657051282051282,0.5519923509943084,1.8678081631660461,0.23076923076923078,0.21226980494715048
6,1.5313450574874878,0.6923076923076923,0.6088779639793266,1.7633835673332214,0.2692307692307692,0.28178932178932176
7,1.479887318611145,0.6794871794871795,0.5960919614995241,1.6756097674369812,0.2980769230769231,0.3369507803121249
8,1.4346360921859742,0.7243589743589743,0.638417561651197,1.5782517194747925,0.2980769230769231,0.34404711138186617
9,1.3740431785583496,0.7083333333333334,0.6500759988269748,1.4869747757911682,0.3173076923076923,0.36542613963921466
10,1.3152504444122315,0.7211538461538461,0.649083321350768,1.4008201956748962,0.3173076923076923,0.3672387136672851
11,1.2495752573013306,0.7275641025641025,0.671517600974482,1.3196581602096558,0.3269230769230769,0.3850725538929122
12,1.2399881601333618,0.7147435897435898,0.6597925258805988,1.2263894081115723,0.38461538461538464,0.44636184971246956
13,1.1318593263626098,0.7115384615384616,0.6463382916957974,1.142694115638733,0.4423076923076923,0.5093754669582536
14,1.097408378124237,0.7339743589743589,0.6863849256751288,1.071305513381958,0.4519230769230769,0.5144066717596129
15,1.0886786818504333,0.6955128205128205,0.6330539791545985,1.0108007490634918,0.5288461538461539,0.565217534121463
